trial,score,ckpt,model.hidden_dims,model.dropout,model.lr,train.batch_size,seed,max_trials
1,0.082,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/equitynet/max_trials=10__model_dropout=0.1__model_hidden_dims=[128, 128]__model_lr=0.001__seed=42__train_batch_size=1024/equitynet-19-0.0820.ckpt","[128, 128]",0.1,0.001,1024,42,10
2,0.0817,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/equitynet/max_trials=10__model_dropout=0.1__model_hidden_dims=[128, 128]__model_lr=0.001__seed=1337__train_batch_size=1024/equitynet-19-0.0817.ckpt","[128, 128]",0.1,0.001,1024,1337,10
3,0.0857,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/equitynet/max_trials=10__model_dropout=0.1__model_hidden_dims=[128, 128]__model_lr=0.001__seed=42__train_batch_size=2048/equitynet-19-0.0857.ckpt","[128, 128]",0.1,0.001,2048,42,10
4,0.0856,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/equitynet/max_trials=10__model_dropout=0.1__model_hidden_dims=[128, 128]__model_lr=0.001__seed=1337__train_batch_size=2048/equitynet-19-0.0856.ckpt","[128, 128]",0.1,0.001,2048,1337,10
5,0.0916,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/equitynet/max_trials=10__model_dropout=0.1__model_hidden_dims=[128, 128]__model_lr=0.0005__seed=42__train_batch_size=1024/equitynet-19-0.0916.ckpt","[128, 128]",0.1,0.0005,1024,42,10
6,0.0919,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/equitynet/max_trials=10__model_dropout=0.1__model_hidden_dims=[128, 128]__model_lr=0.0005__seed=1337__train_batch_size=1024/equitynet-19-0.0919.ckpt","[128, 128]",0.1,0.0005,1024,1337,10
7,0.1004,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/equitynet/max_trials=10__model_dropout=0.1__model_hidden_dims=[128, 128]__model_lr=0.0005__seed=42__train_batch_size=2048/equitynet-19-0.1004.ckpt","[128, 128]",0.1,0.0005,2048,42,10
8,0.1004,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/equitynet/max_trials=10__model_dropout=0.1__model_hidden_dims=[128, 128]__model_lr=0.0005__seed=1337__train_batch_size=2048/equitynet-19-0.1004.ckpt","[128, 128]",0.1,0.0005,2048,1337,10
9,0.0896,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/equitynet/max_trials=10__model_dropout=0.2__model_hidden_dims=[128, 128]__model_lr=0.001__seed=42__train_batch_size=1024/equitynet-19-0.0896.ckpt","[128, 128]",0.2,0.001,1024,42,10
10,0.0899,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/equitynet/max_trials=10__model_dropout=0.2__model_hidden_dims=[128, 128]__model_lr=0.001__seed=1337__train_batch_size=1024/equitynet-19-0.0899.ckpt","[128, 128]",0.2,0.001,1024,1337,10
