stack_bb,ip_pos,oop_pos,n
12,BTN,SB,1
12,CO,BTN,1
12,CO,SB,1
12,HJ,BTN,1
12,HJ,CO,1
12,HJ,SB,1
12,UTG,BTN,1
12,UTG,CO,1
12,UTG,HJ,1
12,UTG,SB,1
15,BTN,SB,1
15,CO,BTN,1
15,CO,SB,1
15,HJ,BTN,1
15,HJ,CO,1
15,HJ,SB,1
15,UTG,BTN,1
15,UTG,CO,1
15,UTG,HJ,1
15,UTG,SB,1
18,BTN,SB,1
18,CO,BTN,1
18,CO,SB,1
18,HJ,BTN,1
18,HJ,CO,1
18,HJ,SB,1
18,UTG,BTN,1
18,UTG,CO,1
18,UTG,HJ,1
18,UTG,SB,1
20,BTN,BB,1
20,BTN,SB,1
20,CO,BB,1
20,CO,BTN,1
20,CO,SB,1
20,HJ,BB,1
20,HJ,BTN,1
20,HJ,CO,1
20,HJ,SB,1
20,UTG,BB,1
20,UTG,BTN,1
20,UTG,CO,1
20,UTG,HJ,1
20,UTG,SB,1
30,BTN,BB,1
30,BTN,SB,1
30,CO,BB,1
30,CO,BTN,1
30,CO,SB,1
30,HJ,BB,1
30,HJ,BTN,1
30,HJ,CO,1
30,HJ,SB,1
30,UTG,BB,1
30,UTG,BTN,1
30,UTG,CO,1
30,UTG,HJ,1
30,UTG,SB,1
40,BTN,BB,1
40,BTN,SB,1
40,CO,BB,1
40,CO,BTN,1
40,CO,SB,1
40,HJ,BB,1
40,HJ,BTN,1
40,HJ,CO,1
40,HJ,SB,1
40,UTG,BB,1
40,UTG,BTN,1
40,UTG,CO,1
40,UTG,HJ,1
40,UTG,SB,1
50,BTN,BB,1
50,BTN,SB,1
50,CO,BB,1
50,CO,BTN,1
50,CO,SB,1
50,HJ,BB,1
50,HJ,BTN,1
50,HJ,CO,1
50,HJ,SB,1
50,SB,BB,1
50,UTG,BB,1
50,UTG,BTN,1
50,UTG,CO,1
50,UTG,HJ,1
50,UTG,SB,1
70,BB,SB,1
70,BTN,BB,1
70,BTN,SB,1
70,CO,BB,1
70,CO,BTN,1
70,CO,SB,1
70,HJ,BB,1
70,HJ,BTN,1
70,HJ,CO,1
70,HJ,SB,1
70,UTG,BB,1
70,UTG,BTN,1
70,UTG,CO,1
70,UTG,HJ,1
70,UTG,SB,1
100,BB,SB,1
100,BTN,BB,1
100,BTN,SB,1
100,CO,BB,1
100,CO,BTN,1
100,CO,SB,1
100,HJ,BB,1
100,HJ,BTN,1
100,HJ,CO,1
100,HJ,SB,1
100,UTG,BB,1
100,UTG,BTN,1
100,UTG,CO,1
100,UTG,HJ,1
100,UTG,SB,1
150,BB,SB,1
150,BTN,BB,1
150,BTN,SB,1
150,CO,BB,1
150,CO,BTN,1
150,CO,SB,1
150,HJ,BB,1
150,HJ,BTN,1
150,HJ,CO,1
150,HJ,SB,1
150,UTG,BB,1
150,UTG,BTN,1
150,UTG,CO,1
150,UTG,HJ,1
150,UTG,SB,1
200,BB,SB,1
200,BTN,BB,1
200,BTN,SB,1
200,CO,BB,1
200,CO,BTN,1
200,CO,SB,1
200,HJ,BB,1
200,HJ,BTN,1
200,HJ,CO,1
200,HJ,SB,1
200,UTG,BB,1
200,UTG,BTN,1
200,UTG,CO,1
200,UTG,HJ,1
200,UTG,SB,1
